,id,title,description,author,image,language,category,published,url
0,3e056ce2-38e0-4dee-b624-b102bb9f4ef9,Why Scranton has invested millions in city parks,"Scranton invests millions into parks to improve quality of lifeSince 2021, the City of Scranton has invested over $25 million into its parks. Two …",Sarah Scinto | WVIA News,,en,"['regional', 'scranton', 'pennsylvania']",2025-07-31 16:00:00 +0000,
54,1860f38b-4969-4f83-8532-e40be3fa8e08,These Are the 10 Best Books to Look Out for in August 2025,"Looking for a new read in August 2025? We've got you covered with expert recommendations across fantasy, horror, romance and much more.",Ellis Cochrane,https://assets-prd.ignimgs.com/2025/07/30/best-books-for-august-2025-1753871522311.png?width=1280&format=jpg&auto=webp&quality=80,en,"['entertainment', 'game']",2025-07-31 16:00:00 +0000,
52,fb630d19-25b8-4b5f-8bd3-d528a4a6b811,BREAKING: Durham Classified Annex Drops; Soros Ties to Russiagate?,Exploring Durham's classified annex and its implications on Soros' involvement in Russiagate.,Ed Morrissey,https://media.townhall.com/cdn/hodl/2024/23/a2aa4254-5dd0-4134-ad6e-027b028be2f7.jpg,en,['politics'],2025-07-31 16:00:00 +0000,
51,0c3d154b-2692-4e53-bd93-8437e8fdc9c1,"10-day voter registration for barangay, SK polls starts","10-day voter registration for barangay, SK polls starts

Teachers who are among those who will serve as poll workers in the upcoming May 12 elections receive election machines and paraphernalia on May...",Mayen Jaymalin,https://media.philstar.com/photos/2025/07/31/b-5-5_2025-07-31_21-41-47.jpg,en,['regional'],2025-07-31 16:00:00 +0000,
50,3c8e3a97-322f-46cb-a1b6-60225c13cdfd,Manila closes funeral parlor found stacking cadavers,"Manila closes funeral parlor found stacking cadavers

MANILA, Philippines — After inspectors found 10 corpses stacked in a nook in the Body and Light Funeral Services in Sta. Cruz, Manila Mayor Isko M...",Ghio Ong,https://media.philstar.com/images/filler/nation-logo-filler-thumbnail.jpg,en,['regional'],2025-07-31 16:00:00 +0000,
49,e859b069-f006-4593-81f3-b297477da0b2,Coffee prices rise as U.S. imposes tariffs on top exporter Brazil | Honolulu Star-Advertiser,"LONDON >> World coffee prices rose today, but gains were muted overall as traders continued to hold out hope that the United States could exempt coffee from its 50% trade tariff on most Brazilian goods.",Reuters,https://www.staradvertiser.com/wp-content/uploads/2025/07/web1_20210615_brk_cof01.jpg,en,['regional'],2025-07-31 16:00:00 +0000,
48,152242d7-1e88-4bba-84b1-5cd410fcdbfb,CE to attend Games countdown,"Chief Executive John Lee will depart for Shenzhen on August to attend the launch of
a 100-day countdown for the 15th National Games.",www.news.gov.hk,http://www.news.gov.hk/eng/2025/08/20250801/20250801_160206_262/images/20250801162630667.jpg,en,['regional'],2025-07-31 16:00:00 +0000,
47,09c38a18-6511-4539-ac6b-404938288b65,Northbound travel more flexible,"Bookings will not be required for vehicles travelling to Guangdong Province via the
Hong Kong-Zhuhai-Macao Bridge under Northbound Travel for Hong Kong Vehicles scheme
on Tuesdays and Wednesdays from September 1.",www.news.gov.hk,http://www.news.gov.hk/eng/2025/08/20250801/20250801_182143_995/images/20250801194748009.jpg,en,['regional'],2025-07-31 16:00:00 +0000,
46,b94c6dc9-27f0-45ab-a235-fbeb41d9fd19,CS meets I&T stakeholders,"The Committee on Education, Technology & Talents, led by Chief Secretary Chan Kwok-ki,
meets stakeholders in the innovation and technology sector.",www.news.gov.hk,http://www.news.gov.hk/eng/2025/08/20250801/20250801_163632_315/images/20250801170716586.JPG,en,['regional'],2025-07-31 16:00:00 +0000,
45,5846ffb3-51f6-4249-997a-674c8b4bbd71,Death in the Park,Killing in the name of conservation? We examine allegations that rangers use deadly force in Uganda’s wildlife parks.,Apps Support,https://www.aljazeera.com/wp-content/uploads/2025/07/image-1753972334.jpg?resize=1918%2C1080&quality=80,en,['general'],2025-07-31 16:00:00 +0000,
